;Steps
0;468.0
1;1435.0
2;126.0
3;606.0
4;109.0
5;278.0
6;103.0
7;127.0
8;317.0
9;109.0
10;143.0
11;114.0
12;157.0
13;87.0
14;49.0
15;40.0
16;154.0
17;61.0
18;144.0
19;36.0
20;23.0
21;105.0
22;61.0
23;96.0
24;108.0
25;119.0
26;131.0
27;53.0
28;59.0
29;70.0
30;249.0
31;76.0
32;43.0
33;133.0
34;32.0
35;37.0
36;49.0
37;138.0
38;94.0
39;34.0
40;52.0
41;51.0
42;34.0
43;57.0
44;77.0
45;38.0
46;32.0
47;34.0
48;36.0
49;60.0
50;97.0
51;35.0
52;51.0
53;23.0
54;38.0
55;203.0
56;34.0
57;39.0
58;33.0
59;68.0
60;42.0
61;97.0
62;36.0
63;37.0
64;140.0
65;25.0
66;22.0
67;29.0
68;37.0
69;31.0
70;37.0
71;70.0
72;24.0
73;46.0
74;35.0
75;30.0
76;33.0
77;41.0
78;56.0
79;25.0
80;24.0
81;66.0
82;104.0
83;30.0
84;71.0
85;39.0
86;42.0
87;36.0
88;34.0
89;43.0
90;35.0
91;38.0
92;46.0
93;60.0
94;34.0
95;20.0
96;45.0
97;26.0
98;44.0
99;32.0
100;27.0
101;28.0
102;28.0
103;20.0
104;33.0
105;29.0
106;38.0
107;40.0
108;22.0
109;42.0
110;45.0
111;20.0
112;37.0
113;108.0
114;35.0
115;46.0
116;24.0
117;47.0
118;26.0
119;21.0
120;25.0
121;36.0
122;35.0
123;26.0
124;54.0
125;23.0
126;17.0
127;29.0
128;47.0
129;23.0
130;50.0
131;29.0
132;46.0
133;70.0
134;46.0
135;20.0
136;22.0
137;55.0
138;32.0
139;23.0
140;21.0
141;29.0
142;23.0
143;32.0
144;40.0
145;42.0
146;33.0
147;27.0
148;37.0
149;25.0
150;21.0
151;36.0
152;25.0
153;53.0
154;22.0
155;37.0
156;33.0
157;28.0
158;27.0
159;20.0
160;23.0
161;41.0
162;38.0
163;33.0
164;19.0
165;27.0
166;30.0
167;20.0
168;26.0
169;26.0
170;53.0
171;31.0
172;34.0
173;33.0
174;38.0
175;22.0
176;26.0
177;23.0
178;27.0
179;40.0
180;38.0
181;16.0
182;36.0
183;25.0
184;37.0
185;20.0
186;42.0
187;25.0
188;25.0
189;22.0
190;24.0
191;28.0
192;22.0
193;28.0
194;38.0
195;31.0
196;22.0
197;23.0
198;16.0
199;22.0
200;17.0
201;25.0
202;17.0
203;18.0
204;18.0
205;22.0
206;30.0
207;22.0
208;23.0
209;33.0
210;25.0
211;15.0
212;23.0
213;27.0
214;22.0
215;26.0
216;19.0
217;31.0
218;24.0
219;21.0
220;18.0
221;24.0
222;22.0
223;20.0
224;37.0
225;25.0
226;20.0
227;35.0
228;28.0
229;17.0
230;29.0
231;18.0
232;24.0
233;20.0
234;37.0
235;20.0
236;17.0
237;17.0
238;23.0
239;25.0
240;36.0
241;36.0
242;34.0
243;17.0
244;20.0
245;19.0
246;23.0
247;41.0
248;15.0
249;20.0
250;36.0
251;35.0
252;17.0
253;30.0
254;28.0
255;22.0
256;33.0
257;22.0
258;25.0
259;27.0
260;31.0
261;22.0
262;29.0
263;24.0
264;18.0
265;18.0
266;24.0
267;24.0
268;32.0
269;25.0
270;24.0
271;22.0
272;17.0
273;28.0
274;28.0
275;20.0
276;15.0
277;17.0
278;22.0
279;25.0
280;21.0
281;20.0
282;54.0
283;21.0
284;50.0
285;35.0
286;22.0
287;28.0
288;34.0
289;20.0
290;19.0
291;17.0
292;25.0
293;46.0
294;20.0
295;34.0
296;38.0
297;27.0
298;20.0
299;25.0
300;35.0
301;24.0
302;21.0
303;27.0
304;26.0
305;34.0
306;19.0
307;36.0
308;21.0
309;23.0
310;16.0
311;19.0
312;23.0
313;27.0
314;20.0
315;22.0
316;30.0
317;22.0
318;23.0
319;19.0
320;31.0
321;19.0
322;21.0
323;18.0
324;25.0
325;29.0
326;28.0
327;37.0
328;18.0
329;18.0
330;22.0
331;18.0
332;21.0
333;21.0
334;24.0
335;19.0
336;21.0
337;20.0
338;16.0
339;22.0
340;21.0
341;22.0
342;17.0
343;32.0
344;26.0
345;25.0
346;23.0
347;16.0
348;31.0
349;20.0
350;25.0
351;19.0
352;25.0
353;24.0
354;34.0
355;31.0
356;21.0
357;21.0
358;18.0
359;24.0
360;22.0
361;23.0
362;24.0
363;31.0
364;22.0
365;19.0
366;26.0
367;20.0
368;20.0
369;33.0
370;22.0
371;32.0
372;21.0
373;21.0
374;27.0
375;21.0
376;17.0
377;19.0
378;24.0
379;36.0
380;19.0
381;22.0
382;25.0
383;31.0
384;20.0
385;32.0
386;31.0
387;56.0
388;17.0
389;26.0
390;33.0
391;29.0
392;19.0
393;32.0
394;46.0
395;29.0
396;27.0
397;15.0
398;25.0
399;16.0
400;41.0
401;20.0
402;20.0
403;27.0
404;15.0
405;19.0
406;27.0
407;20.0
408;29.0
409;33.0
410;17.0
411;26.0
412;17.0
413;20.0
414;19.0
415;20.0
416;25.0
417;19.0
418;16.0
419;20.0
420;20.0
421;18.0
422;28.0
423;21.0
424;43.0
425;49.0
426;39.0
427;17.0
428;18.0
429;36.0
430;22.0
431;30.0
432;23.0
433;29.0
434;26.0
435;19.0
436;18.0
437;19.0
438;17.0
439;17.0
440;24.0
441;22.0
442;35.0
443;35.0
444;20.0
445;21.0
446;27.0
447;20.0
448;22.0
449;29.0
450;18.0
451;21.0
452;36.0
453;24.0
454;22.0
455;22.0
456;19.0
457;30.0
458;20.0
459;33.0
460;36.0
461;28.0
462;27.0
463;24.0
464;19.0
465;28.0
