;Steps
0;932.0
1;518.0
2;155.0
3;156.0
4;293.0
5;283.0
6;113.0
7;47.0
8;241.0
9;111.0
10;175.0
11;180.0
12;83.0
13;77.0
14;102.0
15;179.0
16;63.0
17;143.0
18;29.0
19;74.0
20;87.0
21;48.0
22;97.0
23;29.0
24;104.0
25;53.0
26;20.0
27;118.0
28;60.0
29;55.0
30;47.0
31;55.0
32;71.0
33;27.0
34;114.0
35;83.0
36;31.0
37;35.0
38;39.0
39;37.0
40;43.0
41;58.0
42;45.0
43;41.0
44;26.0
45;42.0
46;62.0
47;18.0
48;107.0
49;48.0
50;27.0
51;19.0
52;21.0
53;65.0
54;22.0
55;49.0
56;25.0
57;17.0
58;49.0
59;23.0
60;17.0
61;34.0
62;17.0
63;29.0
64;19.0
65;69.0
66;32.0
67;35.0
68;26.0
69;22.0
70;26.0
71;26.0
72;25.0
73;27.0
74;15.0
75;43.0
76;18.0
77;22.0
78;21.0
79;50.0
80;35.0
81;57.0
82;25.0
83;20.0
84;19.0
85;23.0
86;32.0
87;36.0
88;21.0
89;19.0
90;18.0
91;32.0
92;15.0
93;27.0
94;24.0
95;38.0
96;16.0
97;25.0
98;16.0
99;28.0
100;20.0
101;18.0
102;20.0
103;24.0
104;17.0
105;18.0
106;16.0
107;17.0
108;27.0
109;16.0
110;15.0
111;16.0
112;25.0
113;27.0
114;18.0
115;15.0
116;14.0
117;18.0
118;18.0
119;16.0
120;15.0
121;17.0
122;16.0
123;15.0
124;14.0
125;14.0
126;14.0
127;15.0
128;19.0
129;15.0
130;18.0
131;14.0
132;15.0
133;14.0
134;16.0
135;15.0
136;14.0
137;16.0
138;20.0
139;14.0
140;16.0
141;16.0
142;14.0
143;17.0
144;14.0
145;24.0
146;14.0
147;17.0
148;15.0
149;15.0
150;16.0
151;18.0
152;17.0
153;21.0
154;18.0
155;14.0
156;16.0
157;15.0
158;15.0
159;15.0
160;16.0
161;19.0
162;18.0
163;14.0
164;16.0
165;22.0
166;14.0
167;16.0
168;16.0
169;22.0
170;16.0
171;14.0
172;14.0
173;15.0
174;19.0
175;16.0
176;16.0
177;17.0
178;14.0
179;14.0
180;20.0
181;19.0
182;14.0
183;14.0
184;15.0
185;14.0
186;18.0
187;15.0
188;15.0
189;18.0
190;14.0
191;14.0
192;17.0
193;21.0
194;15.0
195;16.0
196;14.0
197;14.0
198;14.0
199;14.0
200;20.0
201;14.0
202;14.0
203;15.0
204;18.0
205;22.0
206;14.0
207;15.0
208;14.0
209;18.0
210;16.0
211;15.0
212;15.0
213;18.0
214;21.0
215;20.0
216;15.0
217;20.0
218;16.0
219;19.0
220;14.0
221;14.0
222;14.0
223;18.0
224;14.0
225;17.0
226;17.0
227;14.0
228;14.0
229;14.0
230;17.0
231;19.0
232;21.0
233;14.0
234;14.0
235;18.0
236;19.0
237;15.0
238;15.0
239;19.0
240;16.0
241;15.0
242;16.0
243;14.0
244;18.0
245;15.0
246;16.0
247;16.0
248;16.0
249;14.0
250;23.0
251;20.0
252;16.0
253;25.0
254;14.0
255;15.0
256;14.0
257;17.0
258;16.0
259;14.0
260;22.0
261;18.0
262;16.0
263;15.0
264;15.0
265;15.0
266;14.0
267;14.0
268;14.0
269;14.0
270;14.0
271;17.0
272;17.0
273;14.0
274;15.0
275;14.0
276;14.0
277;18.0
278;14.0
279;14.0
280;18.0
281;14.0
282;14.0
283;14.0
284;14.0
285;14.0
286;18.0
287;14.0
288;17.0
289;16.0
290;18.0
291;15.0
292;15.0
293;17.0
294;14.0
295;16.0
296;18.0
297;15.0
298;22.0
299;14.0
300;14.0
301;17.0
302;22.0
303;15.0
304;14.0
305;20.0
306;15.0
307;14.0
308;14.0
309;14.0
310;19.0
311;16.0
312;14.0
313;14.0
314;14.0
315;18.0
316;14.0
317;14.0
318;18.0
319;18.0
320;21.0
321;17.0
322;17.0
323;14.0
324;16.0
325;17.0
326;14.0
327;15.0
328;18.0
329;19.0
330;16.0
331;18.0
332;14.0
333;15.0
334;19.0
335;14.0
336;14.0
337;16.0
338;15.0
339;21.0
340;16.0
341;22.0
342;14.0
343;14.0
344;14.0
345;16.0
346;14.0
347;15.0
348;26.0
349;17.0
350;21.0
351;16.0
352;15.0
353;18.0
354;15.0
355;22.0
356;15.0
357;20.0
358;14.0
359;14.0
360;14.0
361;15.0
362;14.0
363;15.0
364;16.0
365;16.0
366;19.0
367;14.0
368;14.0
369;17.0
370;19.0
371;19.0
372;14.0
373;15.0
374;15.0
375;15.0
376;14.0
377;14.0
378;17.0
379;15.0
380;14.0
381;16.0
382;14.0
383;16.0
384;14.0
385;14.0
386;14.0
387;16.0
388;15.0
389;16.0
390;21.0
391;14.0
392;14.0
393;19.0
394;16.0
395;16.0
396;18.0
397;17.0
398;17.0
399;15.0
400;17.0
401;17.0
402;23.0
403;15.0
404;16.0
405;16.0
406;14.0
407;18.0
408;14.0
409;20.0
410;17.0
411;14.0
412;22.0
413;17.0
414;14.0
415;14.0
416;16.0
417;17.0
418;27.0
419;15.0
420;19.0
421;15.0
422;15.0
423;16.0
424;14.0
425;14.0
426;14.0
427;17.0
428;14.0
429;16.0
430;16.0
431;14.0
432;15.0
433;15.0
434;18.0
435;14.0
436;16.0
437;18.0
438;14.0
439;16.0
440;16.0
441;14.0
442;14.0
443;15.0
444;24.0
445;16.0
446;14.0
447;21.0
448;16.0
449;23.0
450;17.0
451;18.0
452;15.0
453;14.0
454;17.0
455;20.0
456;17.0
457;15.0
458;16.0
459;14.0
460;16.0
461;15.0
462;16.0
463;18.0
464;14.0
465;16.0
466;15.0
467;16.0
468;17.0
469;14.0
470;21.0
471;18.0
472;14.0
473;15.0
474;16.0
475;14.0
476;19.0
477;17.0
478;16.0
479;14.0
480;17.0
481;16.0
482;23.0
483;18.0
484;16.0
485;21.0
486;17.0
487;15.0
488;16.0
489;19.0
490;17.0
491;18.0
492;16.0
493;14.0
494;15.0
495;15.0
496;14.0
497;15.0
498;21.0
499;18.0
500;20.0
501;16.0
502;15.0
503;14.0
504;16.0
505;19.0
506;20.0
507;16.0
508;14.0
509;14.0
510;14.0
511;14.0
512;18.0
513;18.0
514;17.0
515;14.0
516;21.0
517;14.0
518;14.0
519;15.0
520;14.0
521;16.0
522;20.0
523;14.0
524;15.0
525;19.0
526;14.0
527;27.0
528;16.0
529;14.0
530;15.0
531;15.0
532;15.0
533;15.0
534;20.0
535;17.0
536;16.0
537;17.0
538;14.0
539;14.0
540;17.0
541;18.0
542;14.0
543;14.0
544;19.0
545;14.0
546;16.0
547;15.0
548;14.0
549;14.0
550;14.0
551;16.0
552;17.0
553;14.0
554;14.0
555;14.0
556;15.0
557;16.0
558;17.0
559;16.0
560;23.0
561;15.0
562;14.0
563;16.0
564;14.0
565;14.0
566;26.0
567;18.0
568;17.0
569;18.0
570;19.0
571;18.0
572;16.0
573;14.0
574;23.0
575;14.0
576;14.0
577;14.0
578;17.0
579;15.0
580;16.0
581;15.0
582;14.0
583;14.0
584;16.0
585;14.0
586;14.0
587;14.0
588;23.0
589;17.0
590;16.0
591;18.0
592;14.0
593;22.0
594;16.0
595;21.0
596;16.0
597;17.0
598;15.0
599;16.0
600;17.0
601;16.0
602;19.0
603;21.0
604;20.0
605;14.0
606;14.0
607;16.0
608;17.0
609;17.0
610;16.0
611;14.0
612;18.0
613;16.0
614;16.0
615;16.0
616;14.0
617;17.0
618;15.0
619;16.0
620;20.0
621;14.0
622;17.0
623;18.0
624;20.0
625;18.0
626;18.0
627;16.0
628;15.0
629;15.0
630;14.0
631;14.0
632;15.0
633;16.0
634;18.0
635;15.0
636;14.0
637;18.0
638;14.0
639;16.0
640;17.0
641;14.0
642;19.0
643;16.0
644;16.0
645;21.0
646;14.0
647;14.0
648;21.0
649;16.0
650;14.0
651;14.0
652;19.0
653;17.0
654;17.0
655;14.0
656;14.0
657;14.0
658;18.0
659;17.0
660;16.0
661;16.0
662;18.0
663;14.0
664;14.0
665;15.0
666;19.0
667;17.0
668;16.0
669;16.0
670;15.0
671;16.0
672;14.0
673;14.0
674;20.0
675;15.0
676;14.0
677;17.0
678;19.0
679;17.0
680;14.0
681;16.0
682;14.0
683;24.0
684;18.0
685;17.0
686;15.0
687;17.0
688;16.0
689;19.0
690;24.0
691;14.0
692;18.0
693;15.0
694;14.0
695;19.0
696;14.0
697;16.0
698;19.0
699;14.0
700;17.0
701;16.0
702;19.0
703;16.0
704;16.0
705;15.0
706;18.0
707;17.0
708;17.0
709;18.0
710;14.0
711;15.0
712;16.0
713;14.0
714;15.0
715;14.0
716;14.0
717;14.0
718;16.0
719;14.0
720;16.0
721;22.0
722;16.0
723;22.0
724;16.0
725;14.0
726;14.0
727;14.0
728;14.0
729;24.0
730;18.0
731;18.0
732;14.0
733;16.0
734;14.0
735;14.0
736;14.0
