;Rewards
0;-695.067523987117
1;-133.414538230819
2;-309.8255271767312
3;-95.78291980975648
4;-72.29831896931421
5;-114.94125654097871
6;-13.60650383873832
7;19.175454397959534
8;4.672478910093261
9;42.29221785626977
10;-41.07477839355296
11;68.29221674567962
12;-11.879775181272123
13;-3.937710669033109
14;119.89885639323516
15;69.06943082184785
16;-16.274811833862856
17;153.66154304523798
18;145.59158071714378
19;146.80363387017474
20;129.4199170340824
21;171.58682851793404
22;93.57657795041378
23;234.98448900319016
24;1.4710344284154608
25;329.8639005440701
26;161.4051796867226
27;12.566407854387023
28;345.28303209281455
29;205.7423963349624
30;284.9460805289505
31;242.2348536241832
32;70.85511719462514
33;186.31292727003768
34;238.23147817230765
35;253.68112722901617
36;279.57459767862935
37;304.4980308087222
38;251.05216120151158
39;289.90981983075517
40;196.56354605350708
41;318.41483894012197
42;348.14410473320675
43;292.4216954292884
44;319.64352165828274
45;332.997369774312
46;298.20788601719534
47;348.25496389638135
48;323.2562443900666
49;203.56749756667563
50;338.3463849938539
51;356.8632584887667
52;400.37018958253066
53;319.18588881481196
54;386.13013567484734
55;376.91195268939
56;336.93528214557546
57;329.929466002112
58;402.86903659003116
59;402.3376642325676
60;644.2473209332824
61;418.59512011388347
62;393.17332844991336
63;374.9068563086688
64;428.1421487652641
65;397.7663076607322
66;445.43183519321013
67;422.53007255324604
68;456.4901567801679
69;470.49766786206123
70;441.9262929007521
71;468.528852818117
72;506.08602985442894
73;453.091089446017
74;493.9954305435041
75;461.50993326238023
76;454.690129168763
77;501.25739594912284
78;493.0207019278424
79;556.9348126620629
80;547.9995042885514
81;579.6228240465975
82;514.4384099460065
83;683.8041918097585
84;468.09458553397485
85;516.7208334933457
86;499.13181159283914
87;518.0347532703875
88;529.0210331912044
89;526.3869676684707
90;436.8937646711367
91;488.6074310744672
92;615.8951286455317
93;517.3723284444329
94;477.9488437935503
95;493.6702276424123
96;556.5468965701214
97;640.2633643349354
98;611.1380836386237
99;445.64529500108256
100;549.6421276491778
101;1065.54107119284
102;466.7519346812992
103;629.4756962784868
104;530.4919796463803
105;560.856086186274
106;719.2067367836771
107;635.915730156582
108;492.8213334518209
109;608.7658843782295
110;687.5882799528028
111;551.6118103955541
112;591.2201279419428
113;564.9434457279589
114;574.1347141049973
115;707.861433543374
116;565.1316679553172
117;565.1864998841246
118;520.4128140428622
119;563.9867153577846
120;592.1554974848293
121;536.0484692270564
122;667.4334579605043
123;603.1840683916519
124;637.8737082797563
125;508.49817812627197
126;551.7655530684
127;618.8378824698012
128;614.1918619037045
129;548.006198779531
130;632.5018263111026
131;582.8959872932679
132;643.9591796065152
133;718.3318608773047
134;639.7430847044106
135;649.1186958482598
136;656.2243072894834
137;966.4781223603289
138;660.7584640635073
139;669.3916194195988
140;677.9675301532386
141;653.290407118882
142;621.3080390422083
143;808.8640933884694
144;1096.9302557289511
145;784.3888606004585
146;680.6081833661478
147;713.1681489229851
148;716.3556223032602
149;619.6421098224224
150;647.9576650323911
151;688.9348041255823
152;798.8420758322699
153;515.0575161365701
154;611.6428942326336
155;876.5980055332682
156;685.2977620267723
157;701.3340881597132
158;773.398745607853
159;658.6112665134375
160;700.4152576695789
161;711.0010304898432
162;874.9695816440895
163;693.8027180190137
164;901.8290255968088
165;699.6964732229857
166;707.6095988789467
167;708.6729736535955
168;668.4089543087341
169;1052.021625209789
170;835.6555390026708
171;702.9148512809791
172;709.873522857765
173;716.7911406099463
174;638.9317433700238
175;555.425491279612
176;714.3723461973241
177;683.0884079919006
178;920.803961382953
179;718.4231896976701
180;751.0361919296041
181;716.0711692686509
182;696.5581804827302
183;726.1310660583906
184;839.3534760556212
185;734.4450518654293
186;747.8280610968218
187;819.3325515329756
188;839.622655052085
189;673.7572916147376
190;940.5180572190494
191;829.1518023361746
192;689.3550050566105
193;1012.9008254463008
194;740.5760633066639
195;869.1030378836201
196;639.0646358559568
197;733.0744922852033
198;737.2053826741085
199;643.5099058481538
200;666.7019304028536
201;742.6163163867526
202;748.8787066827273
203;699.8089023903315
204;771.4063915666313
205;721.6123445014682
206;1010.2251795064172
207;618.7881607329126
208;641.7043877507731
209;904.4017265834918
210;683.7200592449165
211;868.2404316422579
212;1026.1316308757175
213;747.3974161169132
214;732.4043925747438
215;738.7503059176003
