;Steps
0;1491.0
1;200.0
2;375.0
3;162.0
4;105.0
5;180.0
6;85.0
7;71.0
8;85.0
9;57.0
10;113.0
11;39.0
12;127.0
13;136.0
14;24.0
15;66.0
16;160.0
17;20.0
18;60.0
19;35.0
20;63.0
21;30.0
22;92.0
23;30.0
24;12.0
25;81.0
26;60.0
27;228.0
28;19.0
29;41.0
30;32.0
31;23.0
32;129.0
33;71.0
34;39.0
35;30.0
36;14.0
37;20.0
38;65.0
39;19.0
40;83.0
41;13.0
42;27.0
43;18.0
44;21.0
45;14.0
46;49.0
47;19.0
48;32.0
49;78.0
50;26.0
51;40.0
52;15.0
53;63.0
54;50.0
55;28.0
56;29.0
57;43.0
58;20.0
59;34.0
60;18.0
61;31.0
62;33.0
63;36.0
64;17.0
65;51.0
66;21.0
67;36.0
68;21.0
69;13.0
70;28.0
71;21.0
72;31.0
73;18.0
74;17.0
75;18.0
76;22.0
77;17.0
78;31.0
79;23.0
80;20.0
81;24.0
82;21.0
83;29.0
84;21.0
85;19.0
86;26.0
87;14.0
88;20.0
89;16.0
90;46.0
91;15.0
92;15.0
93;32.0
94;42.0
95;13.0
96;14.0
97;20.0
98;17.0
99;33.0
100;17.0
101;26.0
102;14.0
103;17.0
104;23.0
105;15.0
106;17.0
107;15.0
108;14.0
109;16.0
110;18.0
111;18.0
112;18.0
113;13.0
114;13.0
115;21.0
116;19.0
117;16.0
118;14.0
119;25.0
120;13.0
121;13.0
122;15.0
123;15.0
124;15.0
125;13.0
126;13.0
127;13.0
128;15.0
129;13.0
130;13.0
131;15.0
132;14.0
133;15.0
134;15.0
135;13.0
136;15.0
137;25.0
138;13.0
139;13.0
140;13.0
141;17.0
142;14.0
143;19.0
144;21.0
145;15.0
146;13.0
147;17.0
148;18.0
149;13.0
150;13.0
151;13.0
152;18.0
153;16.0
154;14.0
155;22.0
156;13.0
157;14.0
158;15.0
159;15.0
160;13.0
161;15.0
162;19.0
163;15.0
164;18.0
165;13.0
166;14.0
167;13.0
168;15.0
169;19.0
170;19.0
171;13.0
172;13.0
173;13.0
174;14.0
175;15.0
176;13.0
177;13.0
178;17.0
179;13.0
180;17.0
181;13.0
182;15.0
183;13.0
184;15.0
185;13.0
186;15.0
187;17.0
188;16.0
189;13.0
190;18.0
191;15.0
192;13.0
193;22.0
194;14.0
195;16.0
196;13.0
197;13.0
198;15.0
199;13.0
200;14.0
201;13.0
202;13.0
203;13.0
204;14.0
205;14.0
206;19.0
207;15.0
208;15.0
209;16.0
210;15.0
211;24.0
212;19.0
213;15.0
214;13.0
215;13.0
216;16.0
217;16.0
218;13.0
219;13.0
220;13.0
221;13.0
222;14.0
223;13.0
224;13.0
225;14.0
226;15.0
227;13.0
228;14.0
229;13.0
230;14.0
231;17.0
232;18.0
233;15.0
234;15.0
235;15.0
236;16.0
237;17.0
238;13.0
239;15.0
240;14.0
241;13.0
242;13.0
243;16.0
244;13.0
245;13.0
246;13.0
247;15.0
248;15.0
249;15.0
250;15.0
251;13.0
252;13.0
253;13.0
254;16.0
255;13.0
256;16.0
257;14.0
258;16.0
259;13.0
260;14.0
261;17.0
262;17.0
263;13.0
264;13.0
265;13.0
266;23.0
267;13.0
268;15.0
269;14.0
270;21.0
271;13.0
272;14.0
273;13.0
274;17.0
275;29.0
276;13.0
277;13.0
278;25.0
279;18.0
280;19.0
281;19.0
282;13.0
283;20.0
284;22.0
285;14.0
286;15.0
287;13.0
288;15.0
289;13.0
290;19.0
291;18.0
292;17.0
293;16.0
294;14.0
295;16.0
296;13.0
297;13.0
298;17.0
299;14.0
300;14.0
301;17.0
302;13.0
303;14.0
304;13.0
305;15.0
306;16.0
307;13.0
308;13.0
309;13.0
310;13.0
311;15.0
312;14.0
313;13.0
314;14.0
315;15.0
316;16.0
317;13.0
318;13.0
319;14.0
320;13.0
321;18.0
322;13.0
323;15.0
324;15.0
325;16.0
326;13.0
327;18.0
328;23.0
329;17.0
330;19.0
331;14.0
332;13.0
333;16.0
334;23.0
335;13.0
336;13.0
337;15.0
338;14.0
339;13.0
340;13.0
341;14.0
342;14.0
343;16.0
344;23.0
345;26.0
346;15.0
347;15.0
348;15.0
349;16.0
350;15.0
351;15.0
352;15.0
353;15.0
354;13.0
355;14.0
356;14.0
357;15.0
358;13.0
359;13.0
360;17.0
361;18.0
362;19.0
363;15.0
364;14.0
365;13.0
366;13.0
367;15.0
368;15.0
369;19.0
370;13.0
371;18.0
372;13.0
373;13.0
374;13.0
375;17.0
376;13.0
377;14.0
378;19.0
379;17.0
380;13.0
381;14.0
382;18.0
383;21.0
384;15.0
385;13.0
386;13.0
387;14.0
388;13.0
389;14.0
390;13.0
391;17.0
392;13.0
393;15.0
394;17.0
395;15.0
396;15.0
397;18.0
398;19.0
399;13.0
400;13.0
401;26.0
402;17.0
403;13.0
404;14.0
405;18.0
406;15.0
407;15.0
408;15.0
409;15.0
410;19.0
411;21.0
412;14.0
413;16.0
414;14.0
415;21.0
416;16.0
417;20.0
418;16.0
419;13.0
420;16.0
421;13.0
422;13.0
423;14.0
424;13.0
425;16.0
426;19.0
427;13.0
428;13.0
429;13.0
430;21.0
431;17.0
432;17.0
433;13.0
434;13.0
435;14.0
436;13.0
