;Rewards
0;153.9783410668914
1;794.5822453047567
2;2533.6684186471466
3;3688.873308500451
4;4942.264641665646
5;5205.822105593784
6;6928.818171279696
7;7685.082536923606
8;8926.006069933912
9;9515.480804169845
10;10860.483613212054
11;11738.391070833195
12;12926.512258576624
13;13754.530898308167
14;14948.700296238922
15;15742.220603378988
16;17638.052280556687
17;17644.220918123414
18;18603.082605888267
19;20907.25224952563
20;20335.596357038157
21;22514.69969480978
22;22462.456178165343
23;23453.018025791447
24;24377.92247919624
25;25460.343456296665
26;26132.932410639172
27;26631.995342075843
28;27672.970077264596
29;28670.727683893634
30;29710.00953248544
31;30626.422062664868
32;31505.283570698863
33;37281.03987900115
34;33430.92366261664
35;34461.87486172877
36;35508.44209759573
37;36330.761278961625
38;37286.39225241482
39;39040.4011535923
40;45078.44989848342
41;38869.75157625248
42;41327.68720562948
43;40432.26635718033
44;41408.03237325164
45;43103.04350502504
46;42449.36836898404
47;43208.961495936426
48;44293.17982665056
49;47031.96319987515
50;45422.029659555614
51;46412.22751069284
52;47384.04829161171
53;48167.929056443754
54;61424.49987235233
55;49394.65167008629
56;55474.97832803168
57;56116.92879362816
58;51150.90918978261
59;51960.022476130456
60;52946.234636724
61;53641.13001236775
62;54171.917636803395
63;62946.596830428796
64;55381.56987742963
65;55603.24632245397
66;56378.46809709923
67;57328.89652112139
68;58312.72019773977
69;59339.43983924894
70;59645.926381180536
71;61029.82938849457
72;62023.63140301299
73;63032.89317811237
74;68339.1041920964
75;64643.69125489767
76;65642.5505585642
77;76634.03752405182
78;67621.048850291
79;81313.02811275197
80;66012.42433454754
81;67011.02925358107
82;68009.5403466658
83;65187.99899600454
84;69550.11158155862
85;92291.58135846631
86;70899.7951963198
87;71897.70615796457
88;68917.57384288803
89;83721.97568784707
90;77545.80014394212
91;81064.59054882353
92;73353.70692146565
93;74349.74086011076
94;75422.96008962637
95;116778.37169929146
96;67557.58674600945
97;97018.72508958109
98;75104.33015203805
99;75526.69942544305
100;76517.24814859137
101;77915.60742418042
102;79988.27341856188
103;77551.47830126778
104;91755.07479581198
105;79152.12473481805
106;79257.76897853836
107;84285.77930072407
108;79109.28088586002
109;80044.44706389355
110;78734.2634135317
111;81384.40748492212
112;88876.34915131622
113;143222.0426533626
114;83786.10687655836
115;90518.5710404288
116;82814.2579377793
117;93693.45980338014
118;88982.86252753831
119;83537.12895279429
120;90268.15413288504
121;83897.07983388472
122;84094.59673686067
123;75986.60412997896
124;85466.8949250478
125;88111.46460815753
126;87006.15521706146
127;87945.95310090818
128;89643.05695891933
129;87864.72697808796
130;90858.67513561556
131;71612.17810099269
132;90824.40105921023
133;89985.0452904613
134;86211.66275722634
135;91050.49347309819
136;95856.76497419638
137;91537.95059499468
138;91170.95043487879
139;90174.42430864548
140;107022.14788293987
141;91971.81442068434
142;85311.06387718044
143;101160.01886251227
144;93362.33761672964
145;120750.30346949607
146;92222.30708520908
147;93090.06129956545
148;92407.02931086224
149;101390.65366618952
150;92683.69974441889
151;98147.40821041909
152;93702.40058624865
153;99554.94040755274
154;82464.8068259133
155;144723.18772326253
156;103788.61371577957
157;93770.71112923714
158;89345.89729066094
159;97579.98735639373
160;146836.36772761107
161;98895.8242827477
162;94108.49071357053
163;103770.93992665083
164;93644.45972510017
165;99548.24663479252
166;96443.9473369488
167;96155.34711473792
168;97588.66340507849
169;96830.42074181953
170;98255.27314418516
171;97837.35900003556
172;116939.90820342799
173;97535.19458421181
174;98304.87988755427
175;102290.62544166709
176;100412.75873886305
177;101391.30430901417
178;107778.91166313861
179;103994.89407470298
180;99589.76311384012
181;101412.16861188319
182;100733.27226028286
183;108170.53576302236
184;131168.56928774138
185;99834.57845442623
186;111337.22024437775
187;94373.21112508955
188;101665.28302665438
189;107868.52461597108
190;116881.18807755898
191;100876.72285113245
192;119381.26095108315
193;110991.27912231248
194;103176.2621150032
195;107132.1421991916
196;108639.70813317828
