;Steps
0;1168.0
1;863.0
2;371.0
3;135.0
4;46.0
5;404.0
6;53.0
7;141.0
8;38.0
9;221.0
10;73.0
11;112.0
12;34.0
13;107.0
14;166.0
15;151.0
16;72.0
17;130.0
18;125.0
19;30.0
20;103.0
21;43.0
22;27.0
23;25.0
24;52.0
25;25.0
26;133.0
27;52.0
28;34.0
29;32.0
30;17.0
31;35.0
32;63.0
33;51.0
34;26.0
35;22.0
36;28.0
37;31.0
38;46.0
39;18.0
40;37.0
41;51.0
42;18.0
43;29.0
44;21.0
45;53.0
46;23.0
47;21.0
48;24.0
49;57.0
50;18.0
51;21.0
52;26.0
53;24.0
54;58.0
55;18.0
56;21.0
57;60.0
58;19.0
59;64.0
60;21.0
61;35.0
62;17.0
63;22.0
64;22.0
65;16.0
66;19.0
67;23.0
68;23.0
69;16.0
70;20.0
71;18.0
72;19.0
73;17.0
74;20.0
75;16.0
76;16.0
77;19.0
78;17.0
79;20.0
80;16.0
81;16.0
82;16.0
83;26.0
84;16.0
85;21.0
86;16.0
87;16.0
88;19.0
89;21.0
90;20.0
91;18.0
92;16.0
93;16.0
94;18.0
95;28.0
96;17.0
97;22.0
98;17.0
99;16.0
100;16.0
101;20.0
102;17.0
103;16.0
104;28.0
105;17.0
106;26.0
107;18.0
108;18.0
109;16.0
110;17.0
111;16.0
112;20.0
113;28.0
114;19.0
115;18.0
116;17.0
117;19.0
118;22.0
119;16.0
120;20.0
121;17.0
122;16.0
123;18.0
124;16.0
125;20.0
126;16.0
127;16.0
128;17.0
129;16.0
130;17.0
131;27.0
132;17.0
133;18.0
134;18.0
135;17.0
136;23.0
137;17.0
138;17.0
139;16.0
140;20.0
141;18.0
142;22.0
143;21.0
144;18.0
145;24.0
146;17.0
147;17.0
148;16.0
149;23.0
150;16.0
151;19.0
152;16.0
153;18.0
154;21.0
155;36.0
156;22.0
157;18.0
158;16.0
159;17.0
160;31.0
161;19.0
162;16.0
163;18.0
164;18.0
165;19.0
166;17.0
167;16.0
168;19.0
169;16.0
170;17.0
171;16.0
172;21.0
173;16.0
174;16.0
175;19.0
176;18.0
177;20.0
178;18.0
179;19.0
180;16.0
181;17.0
182;16.0
183;19.0
184;23.0
185;19.0
186;18.0
187;18.0
188;18.0
189;18.0
190;20.0
191;19.0
192;19.0
193;19.0
194;18.0
195;19.0
196;18.0
197;17.0
198;20.0
199;17.0
200;20.0
201;16.0
202;28.0
203;17.0
204;17.0
205;16.0
206;18.0
207;17.0
208;16.0
209;16.0
210;16.0
211;20.0
212;25.0
213;16.0
214;16.0
215;16.0
216;16.0
217;30.0
218;17.0
219;16.0
220;17.0
221;16.0
222;20.0
223;18.0
224;16.0
225;17.0
226;16.0
227;19.0
228;16.0
229;17.0
230;16.0
231;17.0
232;17.0
233;16.0
234;19.0
235;16.0
236;29.0
237;16.0
238;17.0
239;16.0
240;17.0
241;23.0
242;18.0
243;19.0
244;20.0
245;19.0
246;17.0
247;24.0
248;17.0
249;16.0
250;23.0
251;16.0
252;19.0
253;17.0
254;16.0
255;40.0
256;19.0
257;17.0
258;17.0
259;16.0
260;20.0
261;18.0
262;18.0
263;18.0
264;19.0
265;19.0
266;16.0
267;17.0
268;21.0
269;16.0
270;19.0
271;19.0
272;20.0
273;27.0
274;17.0
275;16.0
276;17.0
277;16.0
278;16.0
279;19.0
280;27.0
281;26.0
282;21.0
283;20.0
284;16.0
285;17.0
286;16.0
287;16.0
288;18.0
289;18.0
290;24.0
291;16.0
292;18.0
293;16.0
294;16.0
295;28.0
296;20.0
297;21.0
298;17.0
299;17.0
300;19.0
301;23.0
302;18.0
303;18.0
304;17.0
305;18.0
306;20.0
307;18.0
308;16.0
309;19.0
310;24.0
311;18.0
312;19.0
313;21.0
314;16.0
315;21.0
316;16.0
317;17.0
318;16.0
319;21.0
320;16.0
321;27.0
322;16.0
323;16.0
324;26.0
325;16.0
326;19.0
327;27.0
328;17.0
329;18.0
330;17.0
331;18.0
332;16.0
333;21.0
334;18.0
335;34.0
336;19.0
337;18.0
338;20.0
339;24.0
340;16.0
341;19.0
342;22.0
343;18.0
344;16.0
345;16.0
346;20.0
347;18.0
348;17.0
349;19.0
350;24.0
351;17.0
352;16.0
353;18.0
354;16.0
355;18.0
356;17.0
357;21.0
358;16.0
359;16.0
360;16.0
361;16.0
362;17.0
363;16.0
364;19.0
365;17.0
366;19.0
367;18.0
368;25.0
369;20.0
370;17.0
371;21.0
372;17.0
373;19.0
374;16.0
375;22.0
376;22.0
377;32.0
378;17.0
379;18.0
380;17.0
381;16.0
382;20.0
383;19.0
384;17.0
385;16.0
386;16.0
387;24.0
388;16.0
389;19.0
390;20.0
391;16.0
392;16.0
393;16.0
394;16.0
395;19.0
396;18.0
397;16.0
398;18.0
399;20.0
400;17.0
401;19.0
402;22.0
403;16.0
404;18.0
405;16.0
406;16.0
407;23.0
408;16.0
409;17.0
410;18.0
411;18.0
412;19.0
413;22.0
414;33.0
415;17.0
416;22.0
417;24.0
418;17.0
419;16.0
420;28.0
421;16.0
422;18.0
423;19.0
424;16.0
425;16.0
426;20.0
427;17.0
428;19.0
429;26.0
430;20.0
431;18.0
432;21.0
433;17.0
434;16.0
435;17.0
436;18.0
437;18.0
438;17.0
439;18.0
440;18.0
441;17.0
442;17.0
443;19.0
444;25.0
445;17.0
446;21.0
447;17.0
448;18.0
449;17.0
450;27.0
451;16.0
452;16.0
453;16.0
454;16.0
455;19.0
456;20.0
457;25.0
458;20.0
459;18.0
460;17.0
461;19.0
462;24.0
463;16.0
464;20.0
465;18.0
466;16.0
467;18.0
468;18.0
469;17.0
470;27.0
471;18.0
472;20.0
473;16.0
474;19.0
475;19.0
476;18.0
477;16.0
478;19.0
479;23.0
480;16.0
481;21.0
482;16.0
483;16.0
484;19.0
485;20.0
486;22.0
487;16.0
488;16.0
489;21.0
490;16.0
491;16.0
492;16.0
493;18.0
494;28.0
495;16.0
496;28.0
