;Rewards
0;-365.9086441172377
1;-622.6034084682302
2;-354.4940720679649
3;-105.30003034691771
4;335.8920842018909
5;128.42020770381578
6;614.6335847524214
7;626.6623523455061
8;646.5340482454055
9;752.5158560416892
10;782.1297577579109
11;892.4048172849949
12;1092.0498193537578
13;1043.4451935143902
14;1048.3331974474231
15;1273.2018258815956
16;1430.8316066262628
17;1565.400909352395
18;1835.1292687892023
19;1647.7852706142162
20;1471.7566191858455
21;1906.0031674236081
22;1760.2515021226868
23;1946.5813063677958
24;2076.8169661973693
25;2221.0357893526607
26;2341.0721846522415
27;2429.8005843238
28;2519.207524368986
29;2728.7557041563964
30;2664.393027058577
31;4738.005067707644
32;2889.5011596454415
33;2949.588161928149
34;2994.7719045565855
35;3307.464909788162
36;3407.7662128696365
37;3880.996335459631
38;3447.6916178434863
39;3407.575780420267
40;3675.7658127799386
41;3696.9285308220487
42;3821.939081813983
43;3883.420070140526
44;3876.657748015854
45;4804.794729321325
46;4200.809040698288
47;4238.774451011422
48;4226.29010968532
49;4420.726135670261
50;4551.7061768857475
51;6807.339432172788
52;5330.833907148848
53;4607.208754733574
54;4993.906653718357
55;4578.483565960419
56;5377.879571238266
57;4868.272876675254
58;4945.63708792185
59;5008.37756819253
60;5140.40415358107
61;5211.613008600208
62;5321.538219853506
63;6100.123872709076
64;5427.2135136069155
65;5380.1511177283055
66;8093.328626729085
67;6143.605469056084
68;6115.888440365371
69;7499.307254278472
70;5423.439701519652
71;5548.265677364953
72;6607.7645217678
73;5511.519398805941
74;5445.6052866398395
75;5623.488308289143
76;5969.016471213421
77;5923.777713738761
78;5847.880511355377
79;5878.059646827398
80;6818.923208545261
81;6072.345710664142
82;6080.02865420693
83;5995.866042772636
84;6733.878124277189
85;6176.194076776219
86;6124.839756340732
87;6510.182947432191
88;6302.085352856086
89;6586.438702601183
90;6519.207155450958
91;6593.194652791208
92;6743.9539425612165
93;6752.401504282147
94;7166.105181178469
95;6801.359012126055
96;6848.436183288774
97;6517.066080197576
98;7017.925279566318
99;6831.953953017383
