;Steps
0;2181.0
1;810.0
2;293.0
3;75.0
4;189.0
5;136.0
6;207.0
7;132.0
8;74.0
9;37.0
10;92.0
11;104.0
12;69.0
13;223.0
14;155.0
15;71.0
16;68.0
17;92.0
18;54.0
19;70.0
20;53.0
21;31.0
22;38.0
23;80.0
24;70.0
25;51.0
26;42.0
27;150.0
28;145.0
29;14.0
30;27.0
31;48.0
32;76.0
33;61.0
34;46.0
35;50.0
36;44.0
37;42.0
38;19.0
39;88.0
40;25.0
41;80.0
42;42.0
43;68.0
44;29.0
45;29.0
46;76.0
47;30.0
48;55.0
49;52.0
50;36.0
51;20.0
52;31.0
53;33.0
54;44.0
55;28.0
56;35.0
57;49.0
58;33.0
59;30.0
60;29.0
61;112.0
62;23.0
63;46.0
64;91.0
65;24.0
66;32.0
67;20.0
68;43.0
69;50.0
70;23.0
71;14.0
72;16.0
73;30.0
74;51.0
75;46.0
76;15.0
77;36.0
78;21.0
79;46.0
80;26.0
81;55.0
82;30.0
83;41.0
84;34.0
85;18.0
86;46.0
87;32.0
88;23.0
89;39.0
90;75.0
91;41.0
92;51.0
93;40.0
94;18.0
95;48.0
96;31.0
97;74.0
98;23.0
99;25.0
100;26.0
101;49.0
102;23.0
103;21.0
104;45.0
105;13.0
106;20.0
107;36.0
108;56.0
109;19.0
110;46.0
111;29.0
112;61.0
113;29.0
114;49.0
115;93.0
116;18.0
117;26.0
118;19.0
119;17.0
120;39.0
121;25.0
122;33.0
123;25.0
124;32.0
125;17.0
126;25.0
127;16.0
128;51.0
129;33.0
130;19.0
131;23.0
132;48.0
133;62.0
134;34.0
135;18.0
136;35.0
137;61.0
138;66.0
139;34.0
140;60.0
141;29.0
142;39.0
143;30.0
144;33.0
145;55.0
146;25.0
147;19.0
148;21.0
149;17.0
150;33.0
151;57.0
152;29.0
153;27.0
154;19.0
155;80.0
156;19.0
157;18.0
158;26.0
159;16.0
160;18.0
161;98.0
162;24.0
163;24.0
164;42.0
165;32.0
166;23.0
167;20.0
168;16.0
169;40.0
170;42.0
171;23.0
172;14.0
173;46.0
174;21.0
175;20.0
176;33.0
177;19.0
178;15.0
179;34.0
180;21.0
181;30.0
182;21.0
183;72.0
184;21.0
185;14.0
186;42.0
187;17.0
188;39.0
189;51.0
190;45.0
191;47.0
192;17.0
193;24.0
194;30.0
195;23.0
196;13.0
197;46.0
198;26.0
199;32.0
200;55.0
201;21.0
202;36.0
203;27.0
204;42.0
205;15.0
206;15.0
207;18.0
208;19.0
209;18.0
210;13.0
211;17.0
212;109.0
213;14.0
214;34.0
215;24.0
216;22.0
217;18.0
218;31.0
219;16.0
220;29.0
221;63.0
222;48.0
223;21.0
224;19.0
225;25.0
226;21.0
227;34.0
228;20.0
229;20.0
230;29.0
231;27.0
232;20.0
233;14.0
234;16.0
235;77.0
236;24.0
237;17.0
238;18.0
239;107.0
240;16.0
241;18.0
242;34.0
243;39.0
244;45.0
245;34.0
246;25.0
247;41.0
248;18.0
249;65.0
250;19.0
251;28.0
252;22.0
253;43.0
254;29.0
255;24.0
256;52.0
257;30.0
258;60.0
259;20.0
260;28.0
261;31.0
262;28.0
263;36.0
264;48.0
265;39.0
266;71.0
267;14.0
268;16.0
269;49.0
270;28.0
271;44.0
272;16.0
273;15.0
274;18.0
275;34.0
