;0;1;2;3
[5.0, 269.0];-4.735699663822169;-4.709521936953969;-3.4949353349778574;-4.8157353894799195
[93.0, 269.0];-4.044357031034861;1.303474967027128;-3.9987010774390854;-4.218474411302126
[93.0, 357.0];-3.5861030120630715;-3.4339598396473936;11.099176938935623;-3.498183004698683
[5.0, 357.0];-4.039457302308199;-3.9348753034700867;-3.5388505663969365;-4.042693457940787
[93.0, 445.0];-3.072055329991817;-2.9954326390741715;-2.976421572806226;-2.950530015384479
[181.0, 445.0];-2.46575045722114;-2.4158886023816577;-2.372394088343123;-2.366664137312802
[269.0, 445.0];-1.842200733477138;-1.8299170763347519;-1.7720018945106824;-1.8858528316639898
[181.0, 357.0];-3.152255184873593;-2.7816762639456196;36.2332366927022;-3.0105320351521057
[181.0, 269.0];-3.5435064879173264;0.24191016499527507;-3.454446292883413;-3.6792108937099997
[93.0, 181.0];-4.232968012295393;-4.163702330877154;-4.200242503739119;-4.197891985049454
[181.0, 181.0];-4.022376442361856;-3.9178615248917903;-3.94119487908796;-3.942117869261664
[269.0, 181.0];-3.9106874436776424;-4.014541228984192;-3.3616655328955534;-3.906736445166623
[269.0, 5.0];-5.50818315224618;-5.589325296158168;-4.760706080485317;-5.471977790120013
[181.0, 5.0];-5.016143227005434;-4.8836038775672606;-5.01356500372367;-4.928483859767582
[93.0, 5.0];-4.785232629313466;-4.6414739486593;-4.723045560913417;-4.632184628789811
[93.0, 93.0];-4.456985036136094;-4.407194608311213;-4.4374139976759315;-4.390942725298394
[181.0, 93.0];-4.376982360391717;-4.399320415943263;-4.389631727432372;-4.395230468049987
[5.0, 93.0];-4.511791654222567;-4.43748880117854;-4.447440914376756;-4.506712636912253
[5.0, 181.0];-4.489321322551684;-4.450499304989454;-4.442953025244772;-4.512833738236772
[269.0, 357.0];-2.419483335959476;-2.2471189298446705;64.73247959939152;-2.2977798188841154
[269.0, 93.0];-4.749799847863891;-4.6369110510387515;-4.146553303968714;-4.6007750735773945
[357.0, 5.0];-5.9854084516924395;-5.998576834527742;9.398732260186074;-5.922543384995806
[445.0, 5.0];-2.1760069818007852;-5.787292639825485;126.48561442476654;-5.867442488487406
[533.0, 5.0];-5.4870991440574;-5.36808128458911;279.9105648161455;-5.163833593330997
[621.0, 5.0];43.27282962750443;-4.570701070724768;436.85289223471887;-4.575610276205927
[709.0, 5.0];53.087861921239636;152.59977074872114;561.2918226581695;106.12693349142211
[797.0, 5.0];60.94902650984484;579.426718764789;-3.1212659463665045;-2.7738805960899597
[797.0, 93.0];137.88838326143872;706.372878158442;-2.2094336686338454;8.780882318839797
[797.0, 181.0];101.42278084461705;803.4610831516675;61.17331897816861;23.018541299331744
[5.0, 5.0];-4.620433363497499;-4.531457518559619;-4.606250673956026;-4.6797357422557875
[709.0, 93.0];94.77415150049313;-2.0807377235212106;-2.110795841520107;-2.1910968743889434
[797.0, 269.0];58.22610169408492;845.0392850603591;204.98497649142166;-0.7732921377561964
[709.0, 181.0];-0.9913417197955516;-1.0532309237197492;283.9383604531208;-0.9467148254632405
[269.0, 269.0];-3.2983456604453862;-3.111075763187821;-2.7177098784881846;-3.1733202754779195
[357.0, 93.0];-4.390320090323656;-4.113492581594434;18.512861068407688;-4.056315028326699
[709.0, 269.0];-0.5858051463469753;-0.3881;-0.454230494369505;-0.42182619919960407
[5.0, 445.0];-3.41656618208997;-3.3476916754815336;-3.402531747712514;-3.4121002769562265
[5.0, 533.0];-3.0282440967982507;-3.1153449671619056;-3.0316485260547;-3.0759644179142085
[93.0, 533.0];-2.698217651486808;-2.663057671305583;-2.6014294286000803;-2.757536862859504
[181.0, 533.0];-2.0609106307444165;-2.128087745245351;-1.9768357157251966;-2.0776845612305452
[797.0, 357.0];170.41784588103422;-0.5046590000000001;280.0796848964151;901.637765436034
[797.0, 445.0];-0.2171;-0.271;-0.29000000000000004;-0.19
[709.0, 357.0];43.137802011877795;189.27483645871382;353.4963591697847;999.9734386011124
[621.0, 93.0];-1.078569678513781;-1.3577664744389661;-1.0451822014962338;-1.288643558634464
[357.0, 269.0];-0.6261773668809072;-1.8497223181389488;121.79289416554666;-1.9874374756965896
[269.0, 533.0];-1.3793903469736943;-1.233579900676046;-1.0496324025493973;-1.3656891915350986
[357.0, 445.0];4.467281605113212;-0.6909412063518726;-0.6358149760030241;-1.0477680928524782
[357.0, 181.0];-3.0403890254180723;-3.0526923586525005;4.364109517432742;-3.0065343670072564
[621.0, 181.0];-0.4324530775153731;-0.3059870005425987;-0.2918969396734009;-0.42500111298700516
[357.0, 357.0];-1.2235514922541468;-1.3435244084039248;-1.147854790551781;-1.3338013834605524
[445.0, 93.0];-3.346045115001261;-2.0167973353890263;46.35838682363929;-3.499127112255288
[445.0, 181.0];8.765101877437388;13.655630056272411;250.29544996632822;-0.985043335654667
[709.0, 445.0];-0.119;0.0;-0.11100000000000002;0.0
goal;0.0;0.0;0.0;0.0
[445.0, 269.0];-0.7647328663887507;-0.7835032853203265;3.5284902207347835;-0.8705465643528126
[797.0, 533.0];-0.11000000000000001;-0.2;-0.1;2.5100000000000002
[533.0, 181.0];-0.49489236595800223;-0.3486748006265784;57.66058254832239;-1.2184327506943493
[709.0, 533.0];124.17815254994716;0.0;0.0;0.0
[445.0, 357.0];-0.3078948678637319;-0.4781;-0.23600421103626978;-0.4215214537092537
[533.0, 269.0];11.596678577758853;0.0;-0.18637989607291347;-0.32341676604099806
[533.0, 93.0];-1.5721444743137587;-1.481792316391343;352.53277076018855;-1.6176962559141435
