;Steps
0;1661.0
1;772.0
2;452.0
3;193.0
4;72.0
5;220.0
6;54.0
7;207.0
8;73.0
9;131.0
10;110.0
11;195.0
12;132.0
13;43.0
14;72.0
15;46.0
16;110.0
17;160.0
18;51.0
19;174.0
20;39.0
21;67.0
22;49.0
23;26.0
24;201.0
25;21.0
26;29.0
27;64.0
28;38.0
29;31.0
30;18.0
31;108.0
32;21.0
33;25.0
34;106.0
35;48.0
36;71.0
37;40.0
38;38.0
39;30.0
40;76.0
41;32.0
42;25.0
43;33.0
44;29.0
45;72.0
46;37.0
47;51.0
48;22.0
49;23.0
50;17.0
51;59.0
52;26.0
53;66.0
54;23.0
55;28.0
56;38.0
57;28.0
58;17.0
59;26.0
60;83.0
61;25.0
62;26.0
63;22.0
64;23.0
65;21.0
66;28.0
67;38.0
68;20.0
69;50.0
70;27.0
71;27.0
72;21.0
73;28.0
74;17.0
75;21.0
76;20.0
77;20.0
78;27.0
79;34.0
80;22.0
81;30.0
82;16.0
83;29.0
84;18.0
85;16.0
86;19.0
87;22.0
88;23.0
89;18.0
90;16.0
91;16.0
92;17.0
93;22.0
94;19.0
95;23.0
96;16.0
97;23.0
98;30.0
99;20.0
